DISEASE_ID,DISEASE_NAME
OMIM:615501,"Molybdenum Cofactor Deficiency, Complementation Group C"
OMIM:615604,L-ferritin Deficiency
OMIM:615744,"Epileptic Encephalopathy, Early Infantile, 19"
OMIM:615760,"Microcephaly, Progressive, With Seizures And Cerebral And Cerebellar Atrophy"
OMIM:615905,"Epileptic Encephalopathy, Early Infantile, 25, With Amelogenesis Imperfecta"
OMIM:616172,"Generalized Epilepsy With Febrile Seizures Plus, Type 9"
OMIM:616239,Combined Oxidative Phosphorylation Deficiency 24
OMIM:616341,"Epileptic Encephalopathy, Early Infantile, 30"
OMIM:616421,Myoclonic-atonic Epilepsy
OMIM:616457,"Epileptic Encephalopathy, Early Infantile, 50"
OMIM:616540,"Epilepsy, Progressive Myoclonic, 9"
OMIM:616606,Ring Chromosome 14 Syndrome
OMIM:616640,"Epilepsy, Progressive Myoclonic, 10"
OMIM:616645,"Epileptic Encephalopathy, Early Infantile, 34"
OMIM:616647,"Epileptic Encephalopathy, Early Infantile, 35"
OMIM:616672,Combined Oxidative Phosphorylation Deficiency 27
OMIM:616685,"Epilepsy, Idiopathic Generalized, Susceptibility To, 14"
OMIM:616756,Spastic Paraplegia And Psychomotor Retardation With Or Without Seizures
OMIM:617020,"Epileptic Encephalopathy, Early Infantile, 38"
OMIM:617050,Hermansky-pudlak Syndrome 10
OMIM:617082,"Congenital Disorder Of Glycosylation, Type Iaa"
OMIM:617166,"Epileptic Encephalopathy, Early Infantile, 47"
OMIM:617171,"Dyskinesia, Seizures, And Intellectual Developmental Disorder"
OMIM:617183,Harel-yoon Syndrome
OMIM:617188,"Mental Retardation, Autosomal Recessive 57"
OMIM:617276,"Epileptic Encephalopathy, Early Infantile, 48"
OMIM:617350,"Epileptic Encephalopathy, Early Infantile, 52"
OMIM:617389,"Epileptic Encephalopathy, Early Infantile, 53"
OMIM:617507,Peho-like Syndrome
OMIM:617527,"Neurodevelopmental Disorder With Progressive Microcephaly, Spasticity, And Brain Anomalies"
OMIM:617665,"Epileptic Encephalopathy, Early Infantile, 56"
OMIM:617771,"Epileptic Encephalopathy, Early Infantile, 57"
OMIM:617830,"Epileptic Encephalopathy, Early Infantile, 58"
OMIM:617831,"Mental Retardation, Autosomal Dominant 55, With Seizures"
OMIM:617836,Developmental Delay And Seizures With Or Without Movement Abnormalities
OMIM:617864,Neurodevelopmental Disorder With Or Without Seizures And Gait Abnormalities
OMIM:617873,Combined Oxidative Phosphorylation Deficiency 35
OMIM:617924,"Epilepsy, Juvenile Myoclonic, Susceptibility To, 10"
OMIM:617976,"Epileptic Encephalopathy, Early Infantile, 63"
OMIM:618004,"Epileptic Encephalopathy, Early Infantile, 64"
OMIM:618009,Intellectual Developmental Disorder 61
OMIM:618090,Neurodevelopmental Disorder With Epilepsy And Hypoplasia Of The Corpus Callosum
OMIM:618095,"Mental Retardation, Autosomal Recessive 63"
OMIM:618141,"Epileptic Encephalopathy, Early Infantile, 67"
OMIM:618201,"Epileptic Encephalopathy, Early Infantile, 68"
OMIM:618242,"Mitochondrial Complex I Deficiency, Nuclear Type 21"
OMIM:618285,"Epileptic Encephalopathy, Early Infantile, 69"
OMIM:618314,"Hypomagnesemia, Seizures, And Mental Retardation 2"
OMIM:618331,"Encephalopathy, Progressive, Early-onset, With Episodic Rhabdomyolysis"
OMIM:618357,"Epilepsy, Idiopathic Generalized, Susceptibility To, 15"
OMIM:618482,"Generalized Epilepsy With Febrile Seizures Plus, Type 10"
OMIM:618729,Liang-wang Syndrome
OMIM:618730,"Neurodevelopmental Disorder With Microcephaly, Cortical Malformations, And Spasticity"
OMIM:618760,Neurodevelopmental Disorder With Hypotonia And Autistic Features With Or Without Hyperkinetic Movements
OMIM:618770,"Spastic Paraplegia 82, Autosomal Recessive"
